gene,composite_rank,decile,stratum,batch_no
MEAF6,1003.5,0,0,5
GPR89A,3213.5,0,0,5
FHOD3,1594.5,0,0,5
SMAD2,1507.5,0,0,5
SPDYE3,3385.5,0,0,5
PPP2R5C,2550.0,0,0,5
GRB2,1140.5,0,0,5
SMNDC1,1561.5,0,0,5
ZNF207,2870.5,0,0,5
TARDBP,1245.5,0,0,5
SMAD4,972.5,0,0,5
OGT,2875.5,0,0,5
USP3,3326.5,0,0,5
RAB5A,1872.5,0,0,5
SERF2,1110.5,0,0,5
TRAF2,1069.5,0,0,5
FABP3,3381.5,0,0,5
MCM3,2895.5,0,0,5
KCNT2,2797.5,0,0,5
GPS2,1041.5,0,0,5
UBE2T,1283.5,0,0,5
ZC3H12D,2704.5,0,0,5
AP2B1,2586.5,0,0,5
SEC16A,1037.5,0,0,5
CA9,3164.5,0,0,5
GAGE2B,3109.5,0,0,5
SEC23B,3252.5,0,0,5
CXorf56,2006.5,0,0,5
MGEA5,1215.5,0,0,6
PHF6,1313.5,0,0,6
ZNF707,2162.5,0,0,6
ORAI1,1401.5,0,0,6
DPF2,997.5,0,0,6
VRK1,1990.5,0,0,6
DHDDS,1299.5,0,0,6
UBE2H,2449.5,0,0,6
BTBD8,1754.5,0,0,6
PAXBP1,1238.5,0,0,6
PCDHGA2,2670.5,0,0,6
TUSC5,2243.5,0,0,6
TAF1,2801.5,0,0,6
ERCC3,2828.5,0,0,6
WDR77,3161.5,0,0,6
GRIPAP1,3328.5,0,0,6
SOCS1,1703.5,0,0,6
POLR2D,2885.5,0,0,6
ALDOA,2724.5,0,0,6
ZNF624,3009.5,0,0,6
SYVN1,1249.5,0,0,6
SIAH2,1213.5,0,0,6
TMEM258,981.5,0,0,6
METTL3,1341.5,0,0,6
DOHH,1162.5,0,0,6
PRKAR1A,1126.5,0,0,6
DCUN1D5,1328.5,0,0,6
TMEM203,1471.5,0,0,6
NFKB1,2844.5,0,0,6
RICTOR,1426.5,0,0,6
TSR3,1173.5,0,0,6
XRCC3,2763.5,0,0,6
RNF169,2911.5,0,0,6
ZNF384,1210.5,0,0,6
ANKIB1,3275.5,0,0,6
C16orf72,1078.5,0,0,6
CCND3,2815.5,0,0,6
CSNK2B,1478.5,0,0,6
RQCD1,3176.5,0,0,6
GTF2B,1506.5,0,0,6
CBLB,1422.5,0,0,6
POLR2C,1309.5,0,0,6
GADD45B,2141.5,0,0,6
NCOR1,1076.5,0,0,6
UBE2D3,2949.5,0,0,6
PRKDC,2896.5,0,0,6
DDX6,1362.5,0,0,6
ARL6IP6,1939.5,0,0,6
SUPT5H,3025.5,0,0,6
RFT1,1244.5,0,0,6
NCKAP1L,2771.5,0,0,6
DHX16,3085.5,0,0,6
ARMC7,1016.5,0,0,6
CRCP,3103.5,0,0,6
EXOSC6,3041.5,0,0,6
PHIP,1066.5,0,0,6
APITD1,3248.5,0,0,6
OLIG2,2965.5,0,0,6
PRKCQ,3010.5,0,0,6
POLG,1660.5,0,0,6
TFRC,2255.5,0,0,7
MED11,984.5,0,0,7
EIF3I,1159.5,0,0,7
XPR1,1216.5,0,0,7
HMGB4,3051.5,0,0,7
HNRNPM,1355.5,0,0,7
NFKBID,1702.5,0,0,7
BCL7C,2982.5,0,0,7
MED6,2738.5,0,0,7
SMARCD2,1204.5,0,0,7
GMPPB,985.5,0,0,7
BACH2,2970.5,0,0,7
CTDNEP1,1063.5,0,0,7
DOCK3,3341.5,0,0,7
MBD2,1361.5,0,0,7
ATF3,2677.5,0,0,7
HTR1D,2275.5,0,0,7
REST,3304.5,0,0,7
TRAPPC1,2810.5,0,0,7
TIPRL,3152.5,0,0,7
POLR2F,1227.5,0,0,7
AEBP2,3133.5,0,0,7
CAPRIN1,3111.5,0,0,7
MEN1,3057.5,0,0,7
GGNBP2,2500.5,0,0,7
UBE2F,2909.5,0,0,7
WAC,1617.5,0,0,7
IKZF3,1044.5,0,0,7
DDX5,1641.5,0,0,7
DRAXIN,1847.5,0,0,7
SYMPK,1234.5,0,0,7
RHOG,2894.5,0,0,7
IQSEC1,2601.5,0,0,7
TRAPPC3,2711.5,0,0,7
BRK1,1058.5,0,0,7
SMAD5,3148.5,0,0,7
CRLS1,1379.5,0,0,7
TAF6L,1180.5,0,0,7
DPH1,2781.5,0,0,7
NUTM1,1993.5,0,0,7
TMEM60,3185.5,0,0,7
INO80,2893.5,0,0,7
SRRM1,3209.5,0,0,7
SCAF8,2804.5,0,0,7
RNF40,1039.5,0,0,7
ZC3H12B,3394.5,0,0,7
SNAPC3,3046.5,0,0,7
PPP3CA,1342.5,0,0,7
EXOSC10,1441.5,0,0,7
DAXX,3228.5,0,0,7
PDGFB,3108.5,0,0,7
ALG11,1045.5,0,0,7
WASF2,3081.5,0,0,7
ING1,3203.5,0,0,7
ARID4B,2952.5,0,0,7
PRKCSH,2751.5,0,0,7
XRCC5,2928.5,0,0,7
MRGBP,2847.5,0,0,7
PGRMC2,2998.5,0,0,7
CLRN2,3324.5,0,0,7
TOX2,3006.5,0,0,8
TAF6,980.5,0,0,8
PCGF1,1250.5,0,0,8
ASF1A,1572.5,0,0,8
INTS6,3220.5,0,0,8
CYLD,1043.5,0,0,8
XRCC6BP1,2633.5,0,0,8
ZBTB7B,999.5,0,0,8
GTF2F2,1336.5,0,0,8
SAMM50,2930.5,0,0,8
PGM3,1006.5,0,0,8
TNRC18,1116.5,0,0,8
UFD1L,3024.5,0,0,8
PFDN2,1138.5,0,0,8
TTC14,2937.5,0,0,8
NCOA3,1189.5,0,0,8
KDM3B,2769.5,0,0,8
TRIM28,1156.5,0,0,8
LRRC71,1440.5,0,0,8
VAPA,2924.5,0,0,8
EED,1065.5,0,0,8
KMT2D,1017.5,0,0,8
TTC26,3344.5,0,0,8
NCBP1,1022.5,0,0,8
DSCC1,1169.5,0,0,8
ECD,3184.5,0,0,8
GPN1,2723.5,0,0,8
OLA1,1761.5,0,0,8
BCAS4,3191.5,0,0,8
ARID1A,977.5,0,0,8
ALG2,979.5,0,0,8
PTGES3,2848.5,0,0,8
TAF8,2714.5,0,0,8
MMS19,1260.5,0,0,8
C1orf21,3315.5,0,0,8
UBR2,3347.5,0,0,8
PCBP2,2737.5,0,0,8
ZC3H13,1602.5,0,0,8
USP53,1483.5,0,0,8
TGFBR2,969.5,0,0,8
TGFBR1,967.5,0,0,8
TUBD1,3276.5,0,0,8
MED26,2800.5,0,0,8
MCM5,2902.5,0,0,8
CLP1,2776.5,0,0,8
SYNCRIP,2830.5,0,0,8
MED22,3401.5,0,0,8
AMD1,1323.5,0,0,8
MED29,2897.5,0,0,8
ANKRD17,1012.5,0,0,8
SIN3A,1185.5,0,0,8
CCDC130,1812.5,0,0,8
SLC39A10,1133.5,0,0,8
PRPF40A,2785.5,0,0,8
STAT5B,974.5,0,0,8
SHOC2,1106.5,0,0,8
CABIN1,2808.5,0,0,8
PGD,2869.5,0,0,8
RPN2,986.5,0,0,8
ALG1,1023.5,0,0,8
G3BP1,3087.5,0,0,9
PREB,1002.5,0,0,9
NUP188,2239.5,0,0,9
NELL1,2995.5,0,0,9
GPR12,3204.5,0,0,9
PCCB,3061.5,0,0,9
SPOP,1097.5,0,0,9
NAA15,1142.5,0,0,9
CBFB,993.5,0,0,9
KAT7,1029.5,0,0,9
STK11,1080.5,0,0,9
SUV39H1,1573.5,0,0,9
SET,2715.5,0,0,9
PPRC1,1089.5,0,0,9
RPL11,3285.5,0,0,9
VPS72,1166.5,0,0,9
LSM5,2877.5,0,0,9
ANKH,2909.5,0,0,9
AQP3,2935.5,0,0,9
HSCB,1583.5,0,0,9
TAF5,1071.5,0,0,9
SBNO2,1517.5,0,0,9
MYC,2813.5,0,0,9
PTPRC,3374.5,0,0,9
TNPO1,3210.5,0,0,9
MED10,1011.5,0,0,9
CACNB4,2927.5,0,0,9
IRF4,995.5,0,0,9
KIAA0232,2900.5,0,0,9
DFNB31,3263.5,0,0,9
GRAP2,3179.5,0,0,9
RNF20,1437.5,0,0,9
DAD1,966.5,0,0,9
RHOBTB1,3298.5,0,0,9
C1orf131,1450.5,0,0,9
FOXRED2,2755.5,0,0,9
RBPJ,998.5,0,0,9
SFSWAP,3388.5,0,0,9
NMNAT1,1255.5,0,0,9
RASGEF1A,3216.5,0,0,9
METTL14,3079.5,0,0,9
TRAPPC5,2777.5,0,0,9
RASA2,2932.5,0,0,9
G6PD,3348.5,0,0,9
FBXO3,3095.5,0,0,9
SRRT,2868.5,0,0,9
RPAP2,1190.5,0,0,9
EIF5A,1285.5,0,0,9
DNTTIP1,1174.5,0,0,9
ZNF26,2442.5,0,0,9
AGPAT6,1630.5,0,0,9
RBM3,2070.5,0,0,9
EDRF1,2228.5,0,0,9
PFN1,1057.5,0,0,9
DNAJC9,2940.5,0,0,9
CC2D1A,1664.5,0,0,9
RHOA,2906.5,0,0,9
SLC25A6,2183.5,0,0,9
MRPS23,3140.5,0,0,9
DHX15,2978.5,0,0,9
TAF12,1018.5,0,0,10
CTBP1,1331.5,0,0,10
ARID2,2747.5,0,0,10
FANCL,3112.5,0,0,10
NMT1,1151.5,0,0,10
SAP18,1092.5,0,0,10
OSTC,3351.5,0,0,10
GATAD2A,3173.5,0,0,10
PMPCB,3251.5,0,0,10
NELFCD,1469.5,0,0,10
GNAS,3245.5,0,0,10
ZNF436,1446.5,0,0,10
ZC3H18,2712.5,0,0,10
DYRK1A,2708.5,0,0,10
RAPGEF1,2987.5,0,0,10
TRIM49C,2514.5,0,0,10
STAT5A,1009.5,0,0,10
RORC,3268.5,0,0,10
BAZ1B,1120.5,0,0,10
ANP32E,1732.5,0,0,10
SFPQ,3150.5,0,0,10
RNGTT,2784.5,0,0,10
FANCD2,1279.5,0,0,10
LINC00452,3073.5,0,0,10
CHD1,1266.5,0,0,10
TRAPPC13,2881.5,0,0,10
C1orf122,3190.5,0,0,10
JKAMP,2859.5,0,0,10
ZMYND8,1486.5,0,0,10
STIP1,2967.5,0,0,10
TADA1,2704.5,0,0,10
BCL7B,2905.5,0,0,10
DOT1L,3333.5,0,0,10
TRAPPC4,1053.5,0,0,10
PUM1,1791.5,0,0,10
CSNK2A1,1117.5,0,0,10
SLC33A1,3070.5,0,0,10
HNRNPU,1288.5,0,0,10
ZNF148,1521.5,0,0,10
PPP1R3F,1550.5,0,0,10
F8A1,1275.5,0,0,10
MED28,2790.5,0,0,10
IPO8,1304.5,0,0,10
CCNK,2911.5,0,0,10
CTNNBL1,1651.5,0,0,10
CUL2,3131.5,0,0,10
SUV420H1,1144.5,0,0,10
TRAF3,1178.5,0,0,10
TOX,2912.5,0,0,10
RPN1,975.5,0,0,10
EDC4,2898.5,0,0,10
MEPCE,2740.5,0,0,10
PABPC4,2509.5,0,0,10
ZNF609,3368.5,0,0,10
NOSIP,1136.5,0,0,10
ITPKB,1099.5,0,0,10
KIAA1143,3078.5,0,0,10
GFPT1,991.5,0,0,10
CARM1,1332.5,0,0,10
DDX3X,2833.5,0,0,10
DNAH17,3471.5,1,1,1
ZNF74,5783.0,1,1,1
ZCCHC6,4759.5,1,1,1
ARV1,4603.0,1,1,1
CTCF,5431.5,1,1,1
ZNF382,3858.5,1,1,1
AFF2,4635.5,1,1,1
ADHFE1,5522.0,1,1,1
MED9,3579.5,1,1,1
PPIA,6542.5,1,1,1
SH3D21,4563.5,1,1,1
HIPK3,3675.5,1,1,1
CEP192,5589.5,1,1,1
OR6K6,6449.5,1,1,1
ZSCAN2,6670.5,1,1,1
TNFRSF1A,3537.5,1,1,1
TMEM19,5983.5,1,1,1
RBM4B,5328.5,1,1,1
TRIM10,5482.5,1,1,1
KCNIP3,4013.5,1,1,1
PRLH,3870.5,1,1,1
ADCY7,6732.5,1,1,1
ULK1,6517.5,1,1,1
BCL2L2-PABPN1,4298.5,1,1,1
ZNF143,4123.5,1,1,1
VPRBP,5861.5,1,1,1
GOLGA6B,6290.5,1,1,1
PUS3,3588.5,1,1,1
MAZ,3768.5,1,1,1
AKAP9,6723.5,1,1,1
PSMD13,6745.5,1,1,1
SUDS3,3460.5,1,1,1
SIN3B,3517.5,1,1,1
MPPED2,4046.5,1,1,1
PPP1R36,6244.5,1,1,1
IRAK2,5584.0,1,1,1
COX7B2,5970.5,1,1,1
DDAH1,6450.5,1,1,1
KIAA1671,5284.5,1,1,1
LRCOL1,3653.5,1,1,1
PTGER3,6034.5,1,1,1
ACAP1,6402.5,1,1,1
TPT1,3936.5,1,1,1
SLC37A4,5203.5,1,1,1
DAZAP1,3797.0,1,1,1
NDUFAF1,3836.5,1,1,1
RBMS3,4721.5,1,1,1
OGFRL1,5632.5,1,1,1
STX16,3751.5,1,1,1
ESAM,4518.5,1,1,1
RGS6,5471.0,1,1,1
SLBP,4439.5,1,1,1
C19orf52,4363.5,1,1,1
SPATA2,4115.5,1,1,1
E2F4,3885.5,1,1,1
ENDOD1,6539.5,1,1,1
NAA60,3461.5,1,1,1
ITGAM,3614.5,1,1,1
FAR1,6039.5,1,1,1
ATP1A1,4631.5,1,1,1
OR6Y1,4789.5,1,1,2
FASTKD3,5816.5,1,1,2
EPHA6,6532.5,1,1,2
SLC4A5,3754.5,1,1,2
SP1,3775.5,1,1,2
RGS19,4854.0,1,1,2
POLR2M,5418.5,1,1,2
PAPOLG,3707.5,1,1,2
CKAP4,3463.5,1,1,2
HHLA3,4448.5,1,1,2
GEMIN6,5398.5,1,1,2
CEBPG,4269.5,1,1,2
BOD1,4144.5,1,1,2
UBA3,5949.5,1,1,2
SNX13,4157.5,1,1,2
HYAL4,3441.5,1,1,2
CNN2,4034.5,1,1,2
IL12RB1,5393.5,1,1,2
ELP6,4123.0,1,1,2
ROMO1,5479.5,1,1,2
SHFM1,4726.5,1,1,2
NXNL1,6678.5,1,1,2
C1orf158,4727.5,1,1,2
SYT7,3848.5,1,1,2
DNAJC17,5055.5,1,1,2
ARPC5,4084.5,1,1,2
EIF3L,4433.5,1,1,2
FAM200B,5688.5,1,1,2
SLC1A5,4937.5,1,1,2
SPOCK3,4349.5,1,1,2
PDZRN3,5089.5,1,1,2
HK1,5390.5,1,1,2
GPR50,4184.5,1,1,2
FGFR1,5376.5,1,1,2
ICE1,4772.5,1,1,2
C1orf216,4286.5,1,1,2
SCYL1,5956.5,1,1,2
CCDC74B,3504.5,1,1,2
APOPT1,4330.5,1,1,2
SAP130,3613.5,1,1,2
SHISA4,3469.5,1,1,2
LARS2,3736.5,1,1,2
RAB11A,5479.5,1,1,2
CT47A4,3804.5,1,1,2
EIF4E2,4548.5,1,1,2
DNAH12,4727.0,1,1,2
PRKCG,4161.5,1,1,2
CEP70,3563.5,1,1,2
TEPP,4051.5,1,1,2
LSM11,3453.5,1,1,2
TLK2,6568.5,1,1,2
C19orf45,5867.5,1,1,2
PPP2R2A,5697.5,1,1,2
PGK1,3758.5,1,1,2
CFL2,4175.5,1,1,2
NAA16,3538.5,1,1,2
NUDT5,4642.0,1,1,2
KCP,6276.5,1,1,2
OR51S1,4640.5,1,1,2
MTERF2,5494.5,1,1,2
GPR153,5342.5,1,1,3
PDE7B,3779.5,1,1,3
IL10RB,6543.5,1,1,3
ESD,6512.5,1,1,3
NPHP4,6194.5,1,1,3
GPRIN1,3941.5,1,1,3
PRB4,6162.5,1,1,3
TERT,5515.5,1,1,3
SYCE2,4727.0,1,1,3
CCDC88C,4423.5,1,1,3
SMARCA2,3814.5,1,1,3
UTP3,6596.5,1,1,3
RASSF10,5695.0,1,1,3
BRF2,5288.0,1,1,3
LBH,5699.5,1,1,3
MATK,6585.5,1,1,3
SHANK2,5867.5,1,1,3
NDUFB11,3599.5,1,1,3
MRC1,5619.0,1,1,3
ZNF232,3483.5,1,1,3
GLMP,4877.0,1,1,3
PRRG2,4743.5,1,1,3
CD9,3723.5,1,1,3
PPP1R14A,5337.5,1,1,3
ALS2CL,4878.5,1,1,3
TSR2,4147.5,1,1,3
FUBP1,6746.5,1,1,3
RANGAP1,3887.5,1,1,3
MGAT2,4945.5,1,1,3
NOMO1,4699.5,1,1,3
SIX2,6690.5,1,1,3
RECQL4,4468.0,1,1,3
ITFG1,5775.5,1,1,3
ACSL3,6442.5,1,1,3
ANKRD65,6242.5,1,1,3
NPC2,4653.5,1,1,3
CACNA2D4,4847.5,1,1,3
SLC39A11,3500.5,1,1,3
CCDC127,3509.5,1,1,3
PSMC4,5491.5,1,1,3
TKT,5916.5,1,1,3
USP17L3,6348.5,1,1,3
NBAS,5294.5,1,1,3
LCA5,5372.0,1,1,3
SETD4,5321.5,1,1,3
CDRT4,6451.5,1,1,3
FUT1,4272.5,1,1,3
PIGF,6037.0,1,1,3
RPL10,4027.0,1,1,3
UVRAG,4329.5,1,1,3
MRPS22,6718.5,1,1,3
NEDD4,4411.5,1,1,3
ERCC6L,6248.5,1,1,3
CCNJL,4479.5,1,1,3
USP13,3450.5,1,1,3
AMN,3809.5,1,1,3
CRYAB,3696.5,1,1,3
CENPN,3789.5,1,1,3
TFG,4258.0,1,1,3
FBXW7,3429.5,1,1,3
MED13,4052.5,1,1,4
STPG1,4715.5,1,1,4
RILPL2,6680.5,1,1,4
DYRK4,5751.5,1,1,4
ZNF540,4279.5,1,1,4
KCTD9,5857.5,1,1,4
OR1S1,5468.5,1,1,4
SLC12A6,5549.5,1,1,4
ABCG5,3420.5,1,1,4
SLC2A6,5229.5,1,1,4
EXOC3L2,5850.5,1,1,4
ARAP1,5770.0,1,1,4
GAPVD1,3595.5,1,1,4
TMEM127,5022.5,1,1,4
TRERF1,5879.5,1,1,4
VPS8,6713.5,1,1,4
RNF225,3511.5,1,1,4
GARS,4748.5,1,1,4
PIGS,5362.5,1,1,4
SH3TC1,6654.5,1,1,4
FAM110A,6162.5,1,1,4
SPANXN4,6620.5,1,1,4
METAP2,5468.0,1,1,4
RABGGTB,4055.5,1,1,4
BCAS3,4636.5,1,1,4
MCM9,5149.5,1,1,4
MAFG,3435.5,1,1,4
SPTSSA,3906.5,1,1,4
CEACAM20,3547.5,1,1,4
SYT8,4818.0,1,1,4
PARP4,5938.5,1,1,4
MOGS,6624.5,1,1,4
MORN3,6336.5,1,1,4
FBXW11,6574.5,1,1,4
SURF4,4646.5,1,1,4
FIBIN,6283.5,1,1,4
HMGB1,4057.5,1,1,4
MRPL36,6135.5,1,1,4
SORCS2,3938.5,1,1,4
PHTF2,3590.5,1,1,4
QPCT,4325.5,1,1,4
PIN1,3486.5,1,1,4
FOSB,6564.5,1,1,4
CREM,6752.5,1,1,4
MRPL53,3745.5,1,1,4
WWP1,4929.5,1,1,4
MFAP5,4457.5,1,1,4
WNT10B,6348.5,1,1,4
CEBPB,4194.5,1,1,4
LARP4,3591.5,1,1,4
